home_team,away_team,home_score,away_score,date
Lakers,Warriors,109,119,2025-10-21
Knicks,Cavaliers,119,111,2025-10-22
Mavericks,Spurs,92,125,2025-10-22
Hornets,Nets,136,117,2025-10-22
Magic,Heat,125,121,2025-10-22
Hawks,Raptors,118,138,2025-10-22
Celtics,76ers,116,117,2025-10-22
Bulls,Pistons,115,111,2025-10-22
Grizzlies,Pelicans,128,122,2025-10-22
Bucks,Wizards,133,120,2025-10-22
Jazz,Clippers,129,108,2025-10-22
Suns,Kings,120,116,2025-10-22
Trail Blazers,Timberwolves,114,118,2025-10-22
Pacers,Thunder,135,141,2025-10-23
Warriors,Nuggets,137,131,2025-10-23
Knicks,Celtics,105,95,2025-10-24
Lakers,Timberwolves,128,110,2025-10-24
Magic,Hawks,107,111,2025-10-24
Nets,Cavaliers,124,131,2025-10-24
Raptors,Bucks,116,122,2025-10-24
Rockets,Pistons,111,115,2025-10-24
Grizzlies,Heat,114,146,2025-10-24
Pelicans,Spurs,116,120,2025-10-24
Mavericks,Wizards,107,117,2025-10-24
Trail Blazers,Warriors,139,119,2025-10-24
Kings,Jazz,105,104,2025-10-24
Clippers,Suns,129,102,2025-10-24
Magic,Bulls,98,110,2025-10-25
Hawks,Thunder,100,117,2025-10-25
76ers,Hornets,125,121,2025-10-25
Grizzlies,Pacers,128,103,2025-10-25
Nuggets,Suns,133,111,2025-10-25
Spurs,Nets,118,107,2025-10-26
Pistons,Celtics,119,113,2025-10-26
Cavaliers,Bucks,118,113,2025-10-26
Heat,Knicks,115,107,2025-10-26
Wizards,Hornets,113,139,2025-10-26
Timberwolves,Pacers,114,110,2025-10-26
Mavericks,Raptors,139,129,2025-10-26
Clippers,Trail Blazers,114,107,2025-10-26
Kings,Lakers,120,127,2025-10-26
Pistons,Cavaliers,95,116,2025-10-27
Timberwolves,Nuggets,114,127,2025-10-27
76ers,Magic,136,124,2025-10-27
Bulls,Hawks,128,123,2025-10-27
Rockets,Nets,137,109,2025-10-27
Pelicans,Celtics,90,122,2025-10-27
Spurs,Raptors,121,103,2025-10-27
Mavericks,Thunder,94,101,2025-10-27
Jazz,Suns,138,134,2025-10-27
Warriors,Grizzlies,131,118,2025-10-27
Lakers,Trail Blazers,108,122,2025-10-27
Wizards,76ers,134,139,2025-10-28
Heat,Hornets,144,117,2025-10-28
Bucks,Knicks,121,111,2025-10-28
Thunder,Kings,107,101,2025-10-28
Warriors,Clippers,98,79,2025-10-28
Celtics,Cavaliers,125,105,2025-10-29
Pistons,Magic,135,116,2025-10-29
Nets,Hawks,112,117,2025-10-29
Raptors,Rockets,121,139,2025-10-29
Bulls,Kings,126,113,2025-10-29
Mavericks,Pacers,107,105,2025-10-29
Nuggets,Pelicans,122,88,2025-10-29
Jazz,Trail Blazers,134,136,2025-10-29
Timberwolves,Lakers,115,116,2025-10-29
Suns,Grizzlies,113,114,2025-10-29
Hornets,Magic,107,123,2025-10-30
Bucks,Warriors,120,110,2025-10-30
Thunder,Wizards,127,108,2025-10-30
Spurs,Heat,107,101,2025-10-30
Pacers,Hawks,108,128,2025-10-31
76ers,Celtics,108,109,2025-10-31
Cavaliers,Raptors,101,112,2025-10-31
Bulls,Knicks,135,125,2025-10-31
Grizzlies,Lakers,112,117,2025-10-31
Suns,Jazz,118,96,2025-10-31
Trail Blazers,Nuggets,109,107,2025-10-31
Clippers,Pelicans,126,124,2025-10-31
Bucks,Kings,133,135,2025-11-01
Hornets,Timberwolves,105,122,2025-11-01
Pacers,Warriors,114,109,2025-11-01
Wizards,Magic,94,125,2025-11-01
Celtics,Rockets,101,128,2025-11-01
Pistons,Mavericks,122,110,2025-11-01
Thunder,Pelicans,137,106,2025-11-02
Nets,76ers,105,129,2025-11-02
Hornets,Jazz,126,103,2025-11-02
Cavaliers,Hawks,117,109,2025-11-02
Raptors,Grizzlies,117,104,2025-11-02
Knicks,Bulls,128,116,2025-11-02
Suns,Spurs,130,118,2025-11-02
Lakers,Heat,130,120,2025-11-02
Nets,Timberwolves,109,125,2025-11-03
Pacers,Bucks,115,117,2025-11-03
Celtics,Jazz,103,105,2025-11-03
Knicks,Wizards,119,102,2025-11-03
Rockets,Mavericks,110,102,2025-11-03
Grizzlies,Pistons,106,114,2025-11-03
Thunder,Rockets,125,124,2025-10-21
Lakers,Warriors,109,119,2025-10-21
Knicks,Cavaliers,119,111,2025-10-22
Mavericks,Spurs,92,125,2025-10-22
Hornets,Nets,136,117,2025-10-22
Magic,Heat,125,121,2025-10-22
Hawks,Raptors,118,138,2025-10-22
Celtics,76ers,116,117,2025-10-22
Bulls,Pistons,115,111,2025-10-22
Grizzlies,Pelicans,128,122,2025-10-22
Bucks,Wizards,133,120,2025-10-22
Jazz,Clippers,129,108,2025-10-22
Suns,Kings,120,116,2025-10-22
Trail Blazers,Timberwolves,114,118,2025-10-22
Pacers,Thunder,135,141,2025-10-23
Warriors,Nuggets,137,131,2025-10-23
Knicks,Celtics,105,95,2025-10-24
Lakers,Timberwolves,128,110,2025-10-24
Magic,Hawks,107,111,2025-10-24
Nets,Cavaliers,124,131,2025-10-24
Raptors,Bucks,116,122,2025-10-24
Rockets,Pistons,111,115,2025-10-24
Grizzlies,Heat,114,146,2025-10-24
Pelicans,Spurs,116,120,2025-10-24
Mavericks,Wizards,107,117,2025-10-24
Trail Blazers,Warriors,139,119,2025-10-24
Kings,Jazz,105,104,2025-10-24
Clippers,Suns,129,102,2025-10-24
Magic,Bulls,98,110,2025-10-25
Hawks,Thunder,100,117,2025-10-25
76ers,Hornets,125,121,2025-10-25
Grizzlies,Pacers,128,103,2025-10-25
Nuggets,Suns,133,111,2025-10-25
Spurs,Nets,118,107,2025-10-26
Pistons,Celtics,119,113,2025-10-26
Cavaliers,Bucks,118,113,2025-10-26
Heat,Knicks,115,107,2025-10-26
Wizards,Hornets,113,139,2025-10-26
Timberwolves,Pacers,114,110,2025-10-26
Mavericks,Raptors,139,129,2025-10-26
Clippers,Trail Blazers,114,107,2025-10-26
Kings,Lakers,120,127,2025-10-26
Pistons,Cavaliers,95,116,2025-10-27
Timberwolves,Nuggets,114,127,2025-10-27
76ers,Magic,136,124,2025-10-27
Bulls,Hawks,128,123,2025-10-27
Rockets,Nets,137,109,2025-10-27
Pelicans,Celtics,90,122,2025-10-27
Spurs,Raptors,121,103,2025-10-27
Mavericks,Thunder,94,101,2025-10-27
Jazz,Suns,138,134,2025-10-27
Warriors,Grizzlies,131,118,2025-10-27
Lakers,Trail Blazers,108,122,2025-10-27
Wizards,76ers,134,139,2025-10-28
Heat,Hornets,144,117,2025-10-28
Bucks,Knicks,121,111,2025-10-28
Thunder,Kings,107,101,2025-10-28
Warriors,Clippers,98,79,2025-10-28
Celtics,Cavaliers,125,105,2025-10-29
Pistons,Magic,135,116,2025-10-29
Nets,Hawks,112,117,2025-10-29
Raptors,Rockets,121,139,2025-10-29
Bulls,Kings,126,113,2025-10-29
Mavericks,Pacers,107,105,2025-10-29
Nuggets,Pelicans,122,88,2025-10-29
Jazz,Trail Blazers,134,136,2025-10-29
Timberwolves,Lakers,115,116,2025-10-29
Suns,Grizzlies,113,114,2025-10-29
Hornets,Magic,107,123,2025-10-30
Bucks,Warriors,120,110,2025-10-30
Thunder,Wizards,127,108,2025-10-30
Spurs,Heat,107,101,2025-10-30
Pacers,Hawks,108,128,2025-10-31
76ers,Celtics,108,109,2025-10-31
Cavaliers,Raptors,101,112,2025-10-31
Bulls,Knicks,135,125,2025-10-31
Grizzlies,Lakers,112,117,2025-10-31
Suns,Jazz,118,96,2025-10-31
Trail Blazers,Nuggets,109,107,2025-10-31
Clippers,Pelicans,126,124,2025-10-31
Bucks,Kings,133,135,2025-11-01
Hornets,Timberwolves,105,122,2025-11-01
Pacers,Warriors,114,109,2025-11-01
Wizards,Magic,94,125,2025-11-01
Celtics,Rockets,101,128,2025-11-01
Pistons,Mavericks,122,110,2025-11-01
Thunder,Pelicans,137,106,2025-11-02
Nets,76ers,105,129,2025-11-02
Hornets,Jazz,126,103,2025-11-02
Cavaliers,Hawks,117,109,2025-11-02
Raptors,Grizzlies,117,104,2025-11-02
Knicks,Bulls,128,116,2025-11-02
Suns,Spurs,130,118,2025-11-02
Lakers,Heat,130,120,2025-11-02
Nets,Timberwolves,109,125,2025-11-03
Pacers,Bucks,115,117,2025-11-03
Celtics,Jazz,103,105,2025-11-03
Knicks,Wizards,119,102,2025-11-03
Rockets,Mavericks,110,102,2025-11-03
Grizzlies,Pistons,106,114,2025-11-03
Thunder,Rockets,125,124,2025-10-21
Lakers,Warriors,109,119,2025-10-21
Knicks,Cavaliers,119,111,2025-10-22
Mavericks,Spurs,92,125,2025-10-22
Hornets,Nets,136,117,2025-10-22
Magic,Heat,125,121,2025-10-22
Hawks,Raptors,118,138,2025-10-22
Celtics,76ers,116,117,2025-10-22
Bulls,Pistons,115,111,2025-10-22
Grizzlies,Pelicans,128,122,2025-10-22
Bucks,Wizards,133,120,2025-10-22
Jazz,Clippers,129,108,2025-10-22
Suns,Kings,120,116,2025-10-22
Trail Blazers,Timberwolves,114,118,2025-10-22
Pacers,Thunder,135,141,2025-10-23
Warriors,Nuggets,137,131,2025-10-23
Knicks,Celtics,105,95,2025-10-24
Lakers,Timberwolves,128,110,2025-10-24
Magic,Hawks,107,111,2025-10-24
Nets,Cavaliers,124,131,2025-10-24
Raptors,Bucks,116,122,2025-10-24
Rockets,Pistons,111,115,2025-10-24
Grizzlies,Heat,114,146,2025-10-24
Pelicans,Spurs,116,120,2025-10-24
Mavericks,Wizards,107,117,2025-10-24
Trail Blazers,Warriors,139,119,2025-10-24
Kings,Jazz,105,104,2025-10-24
Clippers,Suns,129,102,2025-10-24
Magic,Bulls,98,110,2025-10-25
Hawks,Thunder,100,117,2025-10-25
76ers,Hornets,125,121,2025-10-25
Grizzlies,Pacers,128,103,2025-10-25
Nuggets,Suns,133,111,2025-10-25
Spurs,Nets,118,107,2025-10-26
Pistons,Celtics,119,113,2025-10-26
Cavaliers,Bucks,118,113,2025-10-26
Heat,Knicks,115,107,2025-10-26
Wizards,Hornets,113,139,2025-10-26
Timberwolves,Pacers,114,110,2025-10-26
Mavericks,Raptors,139,129,2025-10-26
Clippers,Trail Blazers,114,107,2025-10-26
Kings,Lakers,120,127,2025-10-26
Pistons,Cavaliers,95,116,2025-10-27
Timberwolves,Nuggets,114,127,2025-10-27
76ers,Magic,136,124,2025-10-27
Bulls,Hawks,128,123,2025-10-27
Rockets,Nets,137,109,2025-10-27
Pelicans,Celtics,90,122,2025-10-27
Spurs,Raptors,121,103,2025-10-27
Mavericks,Thunder,94,101,2025-10-27
Jazz,Suns,138,134,2025-10-27
Warriors,Grizzlies,131,118,2025-10-27
Lakers,Trail Blazers,108,122,2025-10-27
Wizards,76ers,134,139,2025-10-28
Heat,Hornets,144,117,2025-10-28
Bucks,Knicks,121,111,2025-10-28
Thunder,Kings,107,101,2025-10-28
Warriors,Clippers,98,79,2025-10-28
Celtics,Cavaliers,125,105,2025-10-29
Pistons,Magic,135,116,2025-10-29
Nets,Hawks,112,117,2025-10-29
Raptors,Rockets,121,139,2025-10-29
Bulls,Kings,126,113,2025-10-29
Mavericks,Pacers,107,105,2025-10-29
Nuggets,Pelicans,122,88,2025-10-29
Jazz,Trail Blazers,134,136,2025-10-29
Timberwolves,Lakers,115,116,2025-10-29
Suns,Grizzlies,113,114,2025-10-29
Hornets,Magic,107,123,2025-10-30
Bucks,Warriors,120,110,2025-10-30
Thunder,Wizards,127,108,2025-10-30
Spurs,Heat,107,101,2025-10-30
Pacers,Hawks,108,128,2025-10-31
76ers,Celtics,108,109,2025-10-31
Cavaliers,Raptors,101,112,2025-10-31
Bulls,Knicks,135,125,2025-10-31
Grizzlies,Lakers,112,117,2025-10-31
Suns,Jazz,118,96,2025-10-31
Trail Blazers,Nuggets,109,107,2025-10-31
Clippers,Pelicans,126,124,2025-10-31
Bucks,Kings,133,135,2025-11-01
Hornets,Timberwolves,105,122,2025-11-01
Pacers,Warriors,114,109,2025-11-01
Wizards,Magic,94,125,2025-11-01
Celtics,Rockets,101,128,2025-11-01
Pistons,Mavericks,122,110,2025-11-01
Thunder,Pelicans,137,106,2025-11-02
Nets,76ers,105,129,2025-11-02
Hornets,Jazz,126,103,2025-11-02
Cavaliers,Hawks,117,109,2025-11-02
Raptors,Grizzlies,117,104,2025-11-02
Knicks,Bulls,128,116,2025-11-02
Suns,Spurs,130,118,2025-11-02
Lakers,Heat,130,120,2025-11-02
Nets,Timberwolves,109,125,2025-11-03
Pacers,Bucks,115,117,2025-11-03
Celtics,Jazz,103,105,2025-11-03
Knicks,Wizards,119,102,2025-11-03
Rockets,Mavericks,110,102,2025-11-03
Grizzlies,Pistons,106,114,2025-11-03
Thunder,Rockets,125,124,2025-10-21
Lakers,Warriors,109,119,2025-10-21
Knicks,Cavaliers,119,111,2025-10-22
Mavericks,Spurs,92,125,2025-10-22
Hornets,Nets,136,117,2025-10-22
Magic,Heat,125,121,2025-10-22
Hawks,Raptors,118,138,2025-10-22
Celtics,76ers,116,117,2025-10-22
Bulls,Pistons,115,111,2025-10-22
Grizzlies,Pelicans,128,122,2025-10-22
Bucks,Wizards,133,120,2025-10-22
Jazz,Clippers,129,108,2025-10-22
Suns,Kings,120,116,2025-10-22
Trail Blazers,Timberwolves,114,118,2025-10-22
Pacers,Thunder,135,141,2025-10-23
Warriors,Nuggets,137,131,2025-10-23
Knicks,Celtics,105,95,2025-10-24
Lakers,Timberwolves,128,110,2025-10-24
Magic,Hawks,107,111,2025-10-24
Nets,Cavaliers,124,131,2025-10-24
Raptors,Bucks,116,122,2025-10-24
Rockets,Pistons,111,115,2025-10-24
Grizzlies,Heat,114,146,2025-10-24
Pelicans,Spurs,116,120,2025-10-24
Mavericks,Wizards,107,117,2025-10-24
Trail Blazers,Warriors,139,119,2025-10-24
Kings,Jazz,105,104,2025-10-24
Clippers,Suns,129,102,2025-10-24
Magic,Bulls,98,110,2025-10-25
Hawks,Thunder,100,117,2025-10-25
76ers,Hornets,125,121,2025-10-25
Grizzlies,Pacers,128,103,2025-10-25
Nuggets,Suns,133,111,2025-10-25
Spurs,Nets,118,107,2025-10-26
Pistons,Celtics,119,113,2025-10-26
Cavaliers,Bucks,118,113,2025-10-26
Heat,Knicks,115,107,2025-10-26
Wizards,Hornets,113,139,2025-10-26
Timberwolves,Pacers,114,110,2025-10-26
Mavericks,Raptors,139,129,2025-10-26
Clippers,Trail Blazers,114,107,2025-10-26
Kings,Lakers,120,127,2025-10-26
Pistons,Cavaliers,95,116,2025-10-27
Timberwolves,Nuggets,114,127,2025-10-27
76ers,Magic,136,124,2025-10-27
Bulls,Hawks,128,123,2025-10-27
Rockets,Nets,137,109,2025-10-27
Pelicans,Celtics,90,122,2025-10-27
Spurs,Raptors,121,103,2025-10-27
Mavericks,Thunder,94,101,2025-10-27
Jazz,Suns,138,134,2025-10-27
Warriors,Grizzlies,131,118,2025-10-27
Lakers,Trail Blazers,108,122,2025-10-27
Wizards,76ers,134,139,2025-10-28
Heat,Hornets,144,117,2025-10-28
Bucks,Knicks,121,111,2025-10-28
Thunder,Kings,107,101,2025-10-28
Warriors,Clippers,98,79,2025-10-28
Celtics,Cavaliers,125,105,2025-10-29
Pistons,Magic,135,116,2025-10-29
Nets,Hawks,112,117,2025-10-29
Raptors,Rockets,121,139,2025-10-29
Bulls,Kings,126,113,2025-10-29
Mavericks,Pacers,107,105,2025-10-29
Nuggets,Pelicans,122,88,2025-10-29
Jazz,Trail Blazers,134,136,2025-10-29
Timberwolves,Lakers,115,116,2025-10-29
Suns,Grizzlies,113,114,2025-10-29
Hornets,Magic,107,123,2025-10-30
Bucks,Warriors,120,110,2025-10-30
Thunder,Wizards,127,108,2025-10-30
Spurs,Heat,107,101,2025-10-30
Pacers,Hawks,108,128,2025-10-31
76ers,Celtics,108,109,2025-10-31
Cavaliers,Raptors,101,112,2025-10-31
Bulls,Knicks,135,125,2025-10-31
Grizzlies,Lakers,112,117,2025-10-31
Suns,Jazz,118,96,2025-10-31
Trail Blazers,Nuggets,109,107,2025-10-31
Clippers,Pelicans,126,124,2025-10-31
Bucks,Kings,133,135,2025-11-01
Hornets,Timberwolves,105,122,2025-11-01
Pacers,Warriors,114,109,2025-11-01
Wizards,Magic,94,125,2025-11-01
Celtics,Rockets,101,128,2025-11-01
Pistons,Mavericks,122,110,2025-11-01
Thunder,Pelicans,137,106,2025-11-02
Nets,76ers,105,129,2025-11-02
Hornets,Jazz,126,103,2025-11-02
Cavaliers,Hawks,117,109,2025-11-02
Raptors,Grizzlies,117,104,2025-11-02
Knicks,Bulls,128,116,2025-11-02
Suns,Spurs,130,118,2025-11-02
Lakers,Heat,130,120,2025-11-02
Nets,Timberwolves,109,125,2025-11-03
Pacers,Bucks,115,117,2025-11-03
Celtics,Jazz,103,105,2025-11-03
Knicks,Wizards,119,102,2025-11-03
Rockets,Mavericks,110,102,2025-11-03
Grizzlies,Pistons,106,114,2025-11-03
Thunder,Rockets,125,124,2025-10-21
Lakers,Warriors,109,119,2025-10-21
Knicks,Cavaliers,119,111,2025-10-22
Mavericks,Spurs,92,125,2025-10-22
Hornets,Nets,136,117,2025-10-22
Magic,Heat,125,121,2025-10-22
Hawks,Raptors,118,138,2025-10-22
Celtics,76ers,116,117,2025-10-22
Bulls,Pistons,115,111,2025-10-22
Grizzlies,Pelicans,128,122,2025-10-22
Bucks,Wizards,133,120,2025-10-22
Jazz,Clippers,129,108,2025-10-22
Suns,Kings,120,116,2025-10-22
Trail Blazers,Timberwolves,114,118,2025-10-22
Pacers,Thunder,135,141,2025-10-23
Warriors,Nuggets,137,131,2025-10-23
Knicks,Celtics,105,95,2025-10-24
Lakers,Timberwolves,128,110,2025-10-24
Magic,Hawks,107,111,2025-10-24
Nets,Cavaliers,124,131,2025-10-24
Raptors,Bucks,116,122,2025-10-24
Rockets,Pistons,111,115,2025-10-24
Grizzlies,Heat,114,146,2025-10-24
Pelicans,Spurs,116,120,2025-10-24
Mavericks,Wizards,107,117,2025-10-24
Trail Blazers,Warriors,139,119,2025-10-24
Kings,Jazz,105,104,2025-10-24
Clippers,Suns,129,102,2025-10-24
Magic,Bulls,98,110,2025-10-25
Hawks,Thunder,100,117,2025-10-25
76ers,Hornets,125,121,2025-10-25
Grizzlies,Pacers,128,103,2025-10-25
Nuggets,Suns,133,111,2025-10-25
Spurs,Nets,118,107,2025-10-26
Pistons,Celtics,119,113,2025-10-26
Cavaliers,Bucks,118,113,2025-10-26
Heat,Knicks,115,107,2025-10-26
Wizards,Hornets,113,139,2025-10-26
Timberwolves,Pacers,114,110,2025-10-26
Mavericks,Raptors,139,129,2025-10-26
Clippers,Trail Blazers,114,107,2025-10-26
Kings,Lakers,120,127,2025-10-26
Pistons,Cavaliers,95,116,2025-10-27
Timberwolves,Nuggets,114,127,2025-10-27
76ers,Magic,136,124,2025-10-27
Bulls,Hawks,128,123,2025-10-27
Rockets,Nets,137,109,2025-10-27
Pelicans,Celtics,90,122,2025-10-27
Spurs,Raptors,121,103,2025-10-27
Mavericks,Thunder,94,101,2025-10-27
Jazz,Suns,138,134,2025-10-27
Warriors,Grizzlies,131,118,2025-10-27
Lakers,Trail Blazers,108,122,2025-10-27
Wizards,76ers,134,139,2025-10-28
Heat,Hornets,144,117,2025-10-28
Bucks,Knicks,121,111,2025-10-28
Thunder,Kings,107,101,2025-10-28
Warriors,Clippers,98,79,2025-10-28
Celtics,Cavaliers,125,105,2025-10-29
Pistons,Magic,135,116,2025-10-29
Nets,Hawks,112,117,2025-10-29
Raptors,Rockets,121,139,2025-10-29
Bulls,Kings,126,113,2025-10-29
Mavericks,Pacers,107,105,2025-10-29
Nuggets,Pelicans,122,88,2025-10-29
Jazz,Trail Blazers,134,136,2025-10-29
Timberwolves,Lakers,115,116,2025-10-29
Suns,Grizzlies,113,114,2025-10-29
Hornets,Magic,107,123,2025-10-30
Bucks,Warriors,120,110,2025-10-30
Thunder,Wizards,127,108,2025-10-30
Spurs,Heat,107,101,2025-10-30
Pacers,Hawks,108,128,2025-10-31
76ers,Celtics,108,109,2025-10-31
Cavaliers,Raptors,101,112,2025-10-31
Bulls,Knicks,135,125,2025-10-31
Grizzlies,Lakers,112,117,2025-10-31
Suns,Jazz,118,96,2025-10-31
Trail Blazers,Nuggets,109,107,2025-10-31
Clippers,Pelicans,126,124,2025-10-31
Bucks,Kings,133,135,2025-11-01
Hornets,Timberwolves,105,122,2025-11-01
Pacers,Warriors,114,109,2025-11-01
Wizards,Magic,94,125,2025-11-01
Celtics,Rockets,101,128,2025-11-01
Pistons,Mavericks,122,110,2025-11-01
Thunder,Pelicans,137,106,2025-11-02
Nets,76ers,105,129,2025-11-02
Hornets,Jazz,126,103,2025-11-02
Cavaliers,Hawks,117,109,2025-11-02
Raptors,Grizzlies,117,104,2025-11-02
Knicks,Bulls,128,116,2025-11-02
Suns,Spurs,130,118,2025-11-02
Lakers,Heat,130,120,2025-11-02
Nets,Timberwolves,109,125,2025-11-03
Pacers,Bucks,115,117,2025-11-03
Celtics,Jazz,103,105,2025-11-03
Knicks,Wizards,119,102,2025-11-03
Rockets,Mavericks,110,102,2025-11-03
Grizzlies,Pistons,106,114,2025-11-03
